id,customer_id,book_id,price
1,8000,245,6.02
2,6494,172,0.83
3,3897,213,7.31
4,5279,486,7.98
5,8479,219,4.89
6,4778,129,9.82
7,7121,165,3.59
8,5279,136,7.22
9,1298,153,4.33
10,7658,330,2.02
11,7498,264,2.88
12,7975,141,8.13
13,8193,407,0.88
14,5749,444,3.38
15,5279,439,4.39
16,9352,277,8.07
17,4179,247,1.24
18,5017,168,7.78
19,4976,208,6.40
20,8000,451,9.13
21,1224,389,7.18
22,3984,371,2.55
23,4778,316,3.01
24,5851,3,4.12
25,1352,337,8.29
26,2926,369,6.16
27,9555,82,9.86
28,8261,311,5.59
29,9500,447,7.09
30,6089,454,2.69
31,7498,154,9.36
32,6324,184,5.95
33,3897,268,3.87
34,9352,28,9.17
35,7658,456,8.98
36,4743,358,5.79
37,9475,109,1.13
38,8479,402,6.85
39,8000,17,6.33
40,3936,426,0.94
41,2984,253,0.14
42,3897,122,8.93
43,4152,267,4.18
44,1224,468,4.63
45,1352,32,9.72
46,6357,73,2.83
47,1787,250,0.04
48,7849,121,7.83
49,5851,472,3.03
50,5616,178,7.77
51,8040,32,1.79
52,2926,181,0.99
53,8626,328,1.56
54,6163,56,6.25
55,1837,307,1.36
56,5843,331,5.68
57,7658,257,1.21
58,4188,347,6.34
59,2984,248,7.57
60,2834,60,2.71
61,8479,357,6.08
62,4652,190,1.36
63,3897,56,4.80
64,4778,387,3.13
65,2984,104,6.40
66,4188,370,1.35
67,9178,161,1.70
68,1854,185,2.54
69,8261,131,8.30
70,5113,188,6.32
71,3897,77,4.01
72,1175,73,2.15
73,6163,109,4.57
74,8479,306,7.14
75,4944,472,2.98
76,7456,305,5.67
77,1567,318,0.51
78,2774,176,1.81
79,1837,349,5.91
80,4976,70,1.55
81,9500,411,2.46
82,6044,423,1.83
83,2230,341,0.85
84,1739,109,0.49
85,5843,315,7.96
86,7498,372,8.06
87,7386,308,2.40
88,4172,293,4.42
89,4778,70,0.54
90,3011,429,2.50
91,8479,64,8.53
92,3011,177,9.66
93,4179,37,3.64
94,6712,236,7.43
95,6357,227,6.68
96,2926,352,7.41
97,8479,178,6.14
98,5393,180,2.47
99,5029,258,0.06
100,9555,146,9.81
